dac_id,reg_channel,customer_lifecycle_finished_flag,baby_residual_lifecycle,baby_age_last_order,prestige,frisomum,gold,stage_f0,stage_f1,stage_f2,stage_f3,stage_f4,last_repurchase_interval
14e57661-d684-11e8-8187-022fee61b306,线下,Y,1179.0,9.0,0,0,1,0,0,1,0,0,
dfe612ba-d683-11e8-8187-022fee61b306,CRM系统,Y,1219.0,8.0,1,0,0,0,0,1,0,0,27.0
90429ddd-d684-11e8-8187-022fee61b306,线下,Y,1254.0,7.0,0,0,1,0,1,0,0,0,14.0
6ac44350-d684-11e8-8187-022fee61b306,线下,Y,1366.0,3.0,0,0,1,0,1,0,0,0,
8e7a48d1-d683-11e8-8187-022fee61b306,线下,Y,2664.0,11.0,0,0,1,0,0,1,0,0,726.0
92f321d6-d683-11e8-8187-022fee61b306,线下,Y,1432.0,14.0,0,0,1,0,1,0,0,0,420.0
6b4c02e2-d683-11e8-8187-022fee61b306,线下,Y,1482.0,0.0,0,0,1,0,0,1,0,0,
a4cdef08-d683-11e8-8187-022fee61b306,线下,Y,1281.0,5.0,0,0,1,0,0,1,0,0,
5c99b48a-d684-11e8-8187-022fee61b306,线下,Y,1288.0,5.0,0,0,1,0,0,1,0,0,
3d0ef915-d684-11e8-8187-022fee61b306,品牌微信,Y,981.0,16.0,1,0,0,0,0,0,1,0,9.0
b8823288-d683-11e8-8187-022fee61b306,线下,Y,1447.0,0.0,0,0,1,0,1,0,0,0,
cd41d86d-d683-11e8-8187-022fee61b306,品牌微信,Y,1221.0,7.0,1,0,0,0,0,1,0,0,
7a38394f-d684-11e8-8187-022fee61b306,CRM系统,Y,1309.0,5.0,1,0,0,0,0,1,0,0,22.0
68027968-d684-11e8-8187-022fee61b306,线下,Y,1532.0,-2.0,0,0,1,0,1,0,0,0,
7011a0c3-d683-11e8-8187-022fee61b306,京东商城,Y,1107.0,11.0,0,0,1,0,0,1,0,0,
